"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
28501,"Silvex triethanolamine salt","C15H22Cl3NO6","CC(C(=O)[O-])OC1=CC(=C(C=C1Cl)Cl)Cl.C(CO)[NH+](CCO)CCO",418.7
28502,"","C13H9NOS","C1=CC=C(C=C1)C2=CC3=C(C=C2)OC(=N3)S",227.28
28503,"Benzene, (2-iodoethyl)-","C8H9I","C1=CC=C(C=C1)CCI",232.06
28504,"3-Formyl-1H-indole-5-carbonitrile","C10H6N2O","C1=CC2=C(C=C1C#N)C(=CN2)C=O",170.17
28505,"Indole-5-carbonitrile, 3-acetyl-","C11H8N2O","CC(=O)C1=CNC2=C1C=C(C=C2)C#N",184.19
28506,"Indole-5-carbonitrile, 3-(2-methylpropionyl)-","C13H12N2O","CC(C)C(=O)C1=CNC2=C1C=C(C=C2)C#N",212.25
28507,"Indole-5-carbonitrile, 3-benzoyl-","C16H10N2O","C1=CC=C(C=C1)C(=O)C2=CNC3=C2C=C(C=C3)C#N",246.26
28508,"Indole-5-carbonitrile, 3-(phenylacetyl)-","C17H12N2O","C1=CC=C(C=C1)CC(=O)C2=CNC3=C2C=C(C=C3)C#N",260.29
28509,"3-(1-Hydroxy-2-phenylethyl)-1H-indole-5-carbonitrile","C17H14N2O","C1=CC=C(C=C1)CC(C2=CNC3=C2C=C(C=C3)C#N)O",262.30
28510,"Indole-5-carbonitrile, 3-benzyl-","C16H12N2","C1=CC=C(C=C1)CC2=CNC3=C2C=C(C=C3)C#N",232.28
28511,"Indole-5-carbonitrile, 3-(2-dimethylaminoethyl)-","C13H15N3","CN(C)CCC1=CNC2=C1C=C(C=C2)C#N",213.28
28512,"1-(3,4-Dihydroxyphenyl)-1-butanone","C10H12O3","CCCC(=O)C1=CC(=C(C=C1)O)O",180.20
28513,"5-Ethyl-5-(1-methoxyethyl)-2-(propan-2-yl)-1,3-dioxane","C12H24O3","CCC1(COC(OC1)C(C)C)C(C)OC",216.32
28514,"5-Ethyl-5-(2-methoxyethyl)-2-propan-2-yl-1,3-dioxane","C12H24O3","CCC1(COC(OC1)C(C)C)CCOC",216.32
28515,"1,3-Bis(p-anilinophenoxy)-2-propanol","C27H26N2O3","C1=CC=C(C=C1)NC2=CC=C(C=C2)OCC(COC3=CC=C(C=C3)NC4=CC=CC=C4)O",426.5
28516,"Mellein","C10H10O3","CC1CC2=C(C(=CC=C2)O)C(=O)O1",178.18
28517,"(2R,3S)-3-(1-oxonona-4,7-dienyl)-2-oxiranecarboxamide","C12H17NO3","CC=CCC=CCCC(=O)C1C(O1)C(=O)N",223.27
28518,"2-Ethyl-3,5,6-trimethylpyrazine","C9H14N2","CCC1=NC(=C(N=C1C)C)C",150.22
28519,"Biphenyl-5,5'-disulfonic acid, bis(salicylate)","C26H18O10S2","C1=CC=C(C(=C1)C(=O)O)OS(=O)(=O)C2=CC=CC(=C2)C3=CC(=CC=C3)S(=O)(=O)OC4=CC=CC=C4C(=O)O",554.5
28520,"3-Nitrobenzo[b]thiophene","C8H5NO2S","C1=CC=C2C(=C1)C(=CS2)[N+](=O)[O-]",179.20
28521,"p-(1-Methyloctyl)phenol","C15H24O","CCCCCCCC(C)C1=CC=C(C=C1)O",220.35
28522,"Aniline, m-bromo-N-methyl-N-nitroso-","C7H7BrN2O","CN(C1=CC(=CC=C1)Br)N=O",215.05
28523,"Tomatine","C50H83NO21","CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)CO)O)OC9C(C(C(CO9)O)O)O)OC2C(C(C(C(O2)CO)O)O)O)O)O)C)C)C)NC1",1034.2
28524,"Acetamide, N,N'-ethylenebis(2,2,2-trichloro-","C6H6Cl6N2O2","C(CNC(=O)C(Cl)(Cl)Cl)NC(=O)C(Cl)(Cl)Cl",350.8
28525,"Hydrazine, (1-methylhexyl)-, sulfate (1:1)","C7H20N2O4S","CCCCCC(C)N[NH3+].OS(=O)(=O)[O-]",228.31
28526,"Heptan-2-ylhydrazine","C7H18N2","CCCCCC(C)NN",130.23
28527,"","C13H17N3O6","C1COC2=C(O1)C=CC(=C2)CC[NH2+]C(=N)[NH3+].C(=O)(C(=O)[O-])[O-]",311.29
28528,"2-[2-(2,3-Dihydro-1,4-benzodioxin-6-yl)ethyl]guanidine","C11H15N3O2","C1COC2=C(O1)C=CC(=C2)CCN=C(N)N",221.26
28529,"2-(3-Chlorophenoxy)-2-methylpropanoic acid","C10H11ClO3","CC(C)(C(=O)O)OC1=CC(=CC=C1)Cl",214.64
28530,"2-((4-Chlorophenyl)thio)-2-methylpropanoic acid","C10H11ClO2S","CC(C)(C(=O)O)SC1=CC=C(C=C1)Cl",230.71
28531,"Disperse Red 60","C20H13NO4","C1=CC=C(C=C1)OC2=C(C3=C(C(=C2)O)C(=O)C4=CC=CC=C4C3=O)N",331.3
28532,"2-Amino-5-nitrobenzonitrile","C7H5N3O2","C1=CC(=C(C=C1[N+](=O)[O-])C#N)N",163.13
28533,"3,3,4,4-Tetrafluoro-2-butanol, tech.","C4H6F4O","CC(C(C(F)F)(F)F)O",146.08
28534,"Benzenaminium, 3-(acetyloxy)-N,N,N-trimethyl-, iodide (1:1)","C11H16INO2","CC(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[I-]",321.15
28535,"(3-Acetoxy-phenyl)-trimethyl-ammonium","C11H16NO2+","CC(=O)OC1=CC=CC(=C1)[N+](C)(C)C",194.25
28536,"4-Hydroxy-2-hexenal","C6H10O2","CCC(C=CC=O)O",114.14
28537,"4-Hydroxyhept-2-enal","C7H12O2","CCCC(C=CC=O)O",128.17
28538,"4-[2-[2-(4-anilinophenoxy)ethoxy]ethoxy]-N-phenylaniline","C28H28N2O3","C1=CC=C(C=C1)NC2=CC=C(C=C2)OCCOCCOC3=CC=C(C=C3)NC4=CC=CC=C4",440.5
28539,"4-Hydroxy-4-methylcyclohexanone","C7H12O2","CC1(CCC(=O)CC1)O",128.17
28540,"2-Pentanone, 5-methoxy-","C6H12O2","CC(=O)CCCOC",116.16
28541,"6-Methoxy-2-methyl-3-hexanone","C8H16O2","CC(C)C(=O)CCCOC",144.21
28542,"2H-Benzocyclohepten-2-one, 1,4a,5,6,7,8,9,9a-octahydro-4a-methyl-, trans-","C12H18O","CC12CCCCCC1CC(=O)C=C2",178.27
