"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
10001,"3,3,3-Trifluoropropylamine","C3H6F3N","C(CN)C(F)(F)F",113.08
10002,"3,3-Dichloro-1,1,1-trifluoropropane","C3H3Cl2F3","C(C(Cl)Cl)C(F)(F)F",166.95
10003,"2-Ethoxy-1,1,1-trifluoroethane","C4H7F3O","CCOCC(F)(F)F",128.09
10004,"Propanoic acid, 3-fluoro-","C3H5FO2","C(CF)C(=O)O",92.07
10005,"Dicyandiamide","C2H4N4","C(#N)N=C(N)N",84.08
10006,"Hydantoin","C3H4N2O2","C1C(=O)NC(=O)N1",100.08
10007,"Chlorphentermine","C10H14ClN","CC(C)(CC1=CC=C(C=C1)Cl)N",183.68
10008,"Fluorobenzene","C6H5F","C1=CC=C(C=C1)F",96.10
10009,"3-Aminopyridine","C5H6N2","C1=CC(=CN=C1)N",94.11
10010,"Homocystine","C8H16N2O4S2","C(CSSCCC(C(=O)O)N)C(C(=O)O)N",268.4
10011,"8-Fluoro-3-methyloctanoic acid","C9H17FO2","CC(CCCCCF)CC(=O)O",176.23
10012,"","C19H36FNaO2","CC(CCCCCCCCC(=O)[O-])CCCCCCCCF.[Na+]",338.5
10013,"18-Fluoro-10-methyloctadecanoic acid","C19H37FO2","CC(CCCCCCCCC(=O)O)CCCCCCCCF",316.5
10014,"10-Nonadecanone, 1,19-difluoro-","C19H36F2O","C(CCCCC(=O)CCCCCCCCCF)CCCCF",318.5
10015,"7-Tridecanone","C13H26O","CCCCCCC(=O)CCCCCC",198.34
10016,"Ethanol, 2-fluoro-, 1-acetate","C4H7FO2","CC(=O)OCCF",106.10
10017,"Carbonochloridic acid, 2-fluoroethyl ester","C3H4ClFO2","C(CF)OC(=O)Cl",126.51
10018,"Acetic acid, thio-, S-(2-fluoroethyl) ester","C4H7FOS","CC(=O)SCCF",122.16
10019,"3-Fluoropropan-1-amine","C3H8FN","C(CN)CF",77.10
10020,"Hydantoic acid","C3H6N2O3","C(C(=O)O)NC(=O)N",118.09
10021,"Nonanoic acid, 9-fluoro-, ethyl ester","C11H21FO2","CCOC(=O)CCCCCCCCF",204.28
10022,"1-Bromo-4-fluorobutane","C4H8BrF","C(CCBr)CF",155.01
10023,"1-Chloro-4-fluorobutane","C4H8ClF","C(CCCl)CF",110.56
10024,"Diethoxymethane","C5H12O2","CCOCOCC",104.15
10025,"6-Fluorohexan-1-amine","C6H14FN","C(CCCF)CCN",119.18
10026,"Pentyl nitrite","C5H11NO2","CCCCCON=O",117.15
10027,"1-Fluorooctane","C8H17F","CCCCCCCCF",132.22
10028,"7-Cyano-2-heptene-4,6-diynoic acid","C8H3NO2","C(=CC(=O)O)C#CC#CC#N",145.11
10029,"1-Fluorononane","C9H19F","CCCCCCCCCF",146.25
10030,"1-Nonyne, 9-fluoro-","C9H15F","C#CCCCCCCCF",142.21
