"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
7501,"Styrene","C8H8","C=CC1=CC=CC=C1",104.15
7502,"4-Vinylpyridine","C7H7N","C=CC1=CC=NC=C1",105.14
7503,"Benzyl Chloride","C7H7Cl","C1=CC=C(C=C1)CCl",126.58
7504,"Benzylamine","C7H9N","C1=CC=C(C=C1)CN",107.15
7505,"Benzonitrile","C7H5N","C1=CC=C(C=C1)C#N",103.12
7506,"4-Cyanopyridine","C6H4N2","C1=CN=CC=C1C#N",104.11
7507,"Cyclohexanemethanol","C7H14O","C1CCC(CC1)CO",114.19
7508,"3-Cyclohexene-1-carboxaldehyde","C7H10O","C1CC(CC=C1)C=O",110.15
7509,"Benzyl mercaptan","C7H8S","C1=CC=C(C=C1)CS",124.21
7510,"3-Pyridinemethanol","C6H7NO","C1=CC(=CN=C1)CO",109.13
7511,"Phenylmercuric Chloride","C6H5ClHg","C1=CC=C(C=C1)[Hg]Cl",313.15
7512,"Phenylmercuric hydroxide","C6H7HgO","C1=CC=C(C=C1)[Hg].O",295.71
7513,"Phenylmagnesium chloride","C6H5ClMg","C1=CC=[C-]C=C1.[Mg+2].[Cl-]",136.86
7514,"N-Methylcyclohexylamine","C7H15N","CNC1CCCCC1",113.20
7515,"N-Methylaniline","C7H9N","CNC1=CC=CC=C1",107.15
7516,"Phenylhydrazine","C6H8N2","C1=CC=C(C=C1)NN",108.14
7517,"Cyclohexanone Oxime","C6H11NO","C1CCC(=NO)CC1",113.16
7518,"N-Phenylhydroxylamine","C6H7NO","C1=CC=C(C=C1)NO",109.13
7519,"Anisole","C7H8O","COC1=CC=CC=C1",108.14
7520,"Thioanisole","C7H8S","CSC1=CC=CC=C1",124.21
7521,"2-Vinylpyridine","C7H7N","C=CC1=CC=CC=N1",105.14
7522,"Pyridine-2-carbonitrile","C6H4N2","C1=CC=NC(=C1)C#N",104.11
7523,"2-Ethylpyridine","C7H9N","CCC1=CC=CC=N1",107.15
7524,"Tetrahydropyran-2-methanol","C6H12O2","C1CCOC(C1)CO",116.16
7525,"Ethylmorpholine","C6H13NO","CCN1CCOCC1",115.17
7526,"N-Nitrosopiperidine","C5H10N2O","C1CCN(CC1)N=O",114.15
7527,"Quinuclidine","C7H13N","C1CN2CCC1CC2",111.18
7528,"Solketal","C6H12O3","CC1(OCC(O1)CO)C",132.16
7529,"1-Ethenyl-3-methylbenzene","C9H10","CC1=CC(=CC=C1)C=C",118.18
7530,"3-Methoxytoluene","C8H10O","CC1=CC(=CC=C1)OC",122.16
7531,"2-Methyl-1-phenyl-2-propanol","C10H14O","CC(C)(CC1=CC=CC=C1)O",150.22
