"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
14701,"1-Fluoro-4-[2-(4-methoxyphenyl)-2-phenylethenyl]benzene","C21H17FO","COC1=CC=C(C=C1)C(=CC2=CC=C(C=C2)F)C3=CC=CC=C3",304.4
14702,"N-(p-(Bis(2-fluoroethyl)amino)benzylidene)-p-anisidine","C18H20F2N2O","COC1=CC=C(C=C1)N=CC2=CC=C(C=C2)N(CCF)CCF",318.4
14703,"17-ethynyl-10-hydroperoxy-17-hydroxy-13-methyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one","C20H26O4","CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34OO",330.4
14704,"1-Naphthaleneacetonitrile, alpha-isopropyl-alpha-(2-morpholinoethyl)-","C21H26N2O","CC(C)C(CCN1CCOCC1)(C#N)C2=CC=CC3=CC=CC=C32",322.4
14705,"Butyrophenone, 4-(7,9-dimethyl-8-oxa-2-azaspiro(4.5)dec-2-yl)-4'-fluoro-","C20H28FNO2","CC1CC2(CCN(C2)CCCC(=O)C3=CC=C(C=C3)F)CC(O1)C",333.4
14706,"2,6-Methano-3-benzazocin-8-ol, 1,2,3,4,5,6-hexahydro-6,11-dimethyl-3-(2-phenylethyl)-, hydrobromide (1:1)","C22H28BrNO","CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O.Br",402.4
14707,"Phenazocine","C22H27NO","CC1C2CC3=C(C1(CCN2CCC4=CC=CC=C4)C)C=C(C=C3)O",321.5
14708,"Furazabol","C20H30N2O2","CC12CCC3C(C1CCC2(C)O)CCC4C3(CC5=NON=C5C4)C",330.5
14709,"3beta-Acetoxyandrost-5-en-17-one","C21H30O3","CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CCC4=O)C)C",330.5
14710,"Ethidium Bromide","C21H20BrN3","CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-]",394.3
14711,"1-Naphthaleneacetonitrile, alpha-(2-(N-benzyl-N-methylamino)ethyl)-","C22H22N2","CN(CCC(C#N)C1=CC=CC2=CC=CC=C21)CC3=CC=CC=C3",314.4
14712,"1-Naphthaleneacetonitrile, alpha-sec-butyl-alpha-(2-piperidinoethyl)-","C23H30N2","CCC(C)C(CCN1CCCCC1)(C#N)C2=CC=CC3=CC=CC=C32",334.5
14713,"1-Naphthaleneacetonitrile, alpha-sec-butyl-alpha-(2-morpholinoethyl)-","C22H28N2O","CCC(C)C(CCN1CCOCC1)(C#N)C2=CC=CC3=CC=CC=C32",336.5
14714,"Butyronitrile, 2-phenyl-4-piperidino-2-(2-piperidinoethyl)-","C22H33N3","C1CCN(CC1)CCC(CCN2CCCCC2)(C#N)C3=CC=CC=C3",339.5
14715,"Butyronitrile, 4-morpholino-2-(2-morpholinoethyl)-2-phenyl-","C20H29N3O2","C1COCCN1CCC(CCN2CCOCC2)(C#N)C3=CC=CC=C3",343.5
14716,"2-Ethylhexyl diphenyl phosphate","C20H27O4P","CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2",362.4
