"CID","Title","MolecularFormula","ConnectivitySMILES","MolecularWeight"
43201,"Carbonic acid 2-ethoxycarbonyl-1-methylethyl 4-iodobenzyl ester","C14H17IO5","CCOC(=O)CC(C)OC(=O)OCC1=CC=C(C=C1)I",392.19
43202,"Carbonic acid, ethyl p-iodophenethyl ester","C11H13IO3","CCOC(=O)OCCC1=CC=C(C=C1)I",320.12
43203,"Carbonic acid, hexyl p-iodophenethyl ester","C15H21IO3","CCCCCCOC(=O)OCCC1=CC=C(C=C1)I",376.23
43204,"Ethyl 3-(4-iodophenyl)propyl carbonate","C12H15IO3","CCOC(=O)OCCCC1=CC=C(C=C1)I",334.15
43205,"Carbonic acid, hexyl 3-(p-iodophenyl)propyl ester","C16H23IO3","CCCCCCOC(=O)OCCCC1=CC=C(C=C1)I",390.26
43206,"1-Butanol, 3-(p-iodophenyl)-","C10H13IO","CC(CCO)C1=CC=C(C=C1)I",276.11
43207,"Carbonic acid ethyl 3-(p-iodophenyl)butyl ester","C13H17IO3","CCOC(=O)OCCC(C)C1=CC=C(C=C1)I",348.18
43208,"3-(4-Iodophenyl)butyl propan-2-yl carbonate","C14H19IO3","CC(C)OC(=O)OCCC(C)C1=CC=C(C=C1)I",362.20
43209,"Carbonic acid, hexyl 3-(p-iodophenyl)butyl ester","C17H25IO3","CCCCCCOC(=O)OCCC(C)C1=CC=C(C=C1)I",404.3
43210,"Ethyl 2-[(4-iodophenyl)methyl]butyl carbonate","C14H19IO3","CCC(CC1=CC=C(C=C1)I)COC(=O)OCC",362.20
43211,"Carbonic acid, butyl ester, ester with 2-(p-iodobenzyl)butanol","C16H23IO3","CCCCOC(=O)OCC(CC)CC1=CC=C(C=C1)I",390.26
43212,"Carbonic acid, 3,5-diiodobenzyl hexyl ester","C14H18I2O3","CCCCCCOC(=O)OCC1=CC(=CC(=C1)I)I",488.10
43213,"2-(2,3-Dihydroxy-4-methylcyclopentyl)-1,3-thiazole-4-carboxamide","C10H14N2O3S","CC1CC(C(C1O)O)C2=NC(=CS2)C(=O)N",242.30
43214,"Clopipazan Mesylate","C20H22ClNO4S","CN1CCC(=C2C3=CC=CC=C3OC4=C2C=C(C=C4)Cl)CC1.CS(=O)(=O)O",407.9
43215,"Clopipazan","C19H18ClNO","CN1CCC(=C2C3=CC=CC=C3OC4=C2C=C(C=C4)Cl)CC1",311.8
43216,"1-((1-Methylethyl)amino)-3-(2-propylphenoxy)-2-propanol","C15H25NO2","CCCC1=CC=CC=C1OCC(CNC(C)C)O",251.36
43217,"Cino-bufotoxin","C40H58N4O10","CC(=O)OC1C(C2(CCC3C(C24C1O4)CCC5C3(CCC(C5)OC(=O)CCCCCCC(=O)NC(CCCN=C(N)N)C(=O)O)C)C)C6=CC(=O)OC=C6",754.9
43218,"2,2',4,4',5-Pentachlorodiphenyl ether","C12H5Cl5O","C1=CC(=C(C=C1Cl)Cl)OC2=CC(=C(C=C2Cl)Cl)Cl",342.4
43219,"2,3',4,4',5-Pentachlorodiphenyl ether","C12H5Cl5O","C1=CC(=C(C=C1OC2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl",342.4
43220,"(4R,8S,12R,19S)-8-(2,2-dimethoxyacetyl)-12,19-difluoro-11-hydroxy-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one","C26H34F2O7","CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)C(OC)OC)C)O)F)C)F)C",496.5
43221,"1-(4-Hydroxy-5-(hydroxymethyl)tetrahydrofuran-2-yl)-5-isopropylpyrimidine-2,4(1H,3H)-dione","C12H18N2O5","CC(C)C1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O",270.28
43222,"2,6-Dimethylheptanoic acid","C9H18O2","CC(C)CCCC(C)C(=O)O",158.24
43223,"1H-Indole, 5-methoxy-3-(4-piperidinyl)-, monohydrochloride","C14H19ClN2O","COC1=CC2=C(C=C1)NC=C2C3CC[NH2+]CC3.[Cl-]",266.76
43224,"5-methoxy-3-(piperidin-4-yl)-1H-indole","C14H18N2O","COC1=CC2=C(C=C1)NC=C2C3CCNCC3",230.31
43225,"1,3-Dithiolane, 2,2'-ethylenebis(2-methyl-","C10H18S4","CC1(SCCS1)CCC2(SCCS2)C",266.5
43226,"Fenarimol","C17H12Cl2N2O","C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)(C3=CN=CN=C3)O)Cl",331.2
43227,"Acetophenone, 2'-(2-piperidinoethoxy)-","C15H21NO2","CC(=O)C1=CC=CC=C1OCCN2CCCCC2",247.33
43228,"((p-Chlorophenyl)azo)cyanoacetic acid ethyl ester","C11H10ClN3O2","CCOC(=O)C(C#N)N=NC1=CC=C(C=C1)Cl",251.67
43229,"","C15H17I3NNaO5","CCC(COCCOC1=C(C=C(C(=C1I)NC(=O)C)I)I)C(=O)[O-].[Na+]",695.00
43230,"((p-Chlorophenyl)azo)cyanoacetic acid methyl ester","C10H8ClN3O2","COC(=O)C(C#N)N=NC1=CC=C(C=C1)Cl",237.64
43231,"Clorsulon","C8H8Cl3N3O4S2","C1=C(C(=CC(=C1N)S(=O)(=O)N)S(=O)(=O)N)C(=C(Cl)Cl)Cl",380.7
43232,"3-hydroxy-2-phenylpropanoic acid [(1R,5R)-8-methyl-8-propan-2-yl-8-azoniabicyclo[3.2.1]octan-3-yl] ester","C20H30NO3+","CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C",332.5
